"","EEG.Anlagenschluessel","Hersteller.der.Windenergieanlage","Typenbezeichnung","Leistung","Inbetriebnahmedatum.der.Einheit","Gemeindeschluessel","Koordinate..Breitengrad..WGS84.","Koordinate..Laengengrad..WGS84.","Nabenhoehe.der.Windenergieanlage","Rotordurchmesser.der.Windenergieanlage"
"939","E31102010000000000001274448400001","Fuhrländer AG","Astos 100"," 100","25.02.1992",7143243,"50,669854","8,020838","33","21"
"940","E31102010000000000001274448400002","Fuhrländer AG","Astos 100"," 100","25.02.1993",7143243,"50,670973","8,022326","33","21"
"941","","GE Wind Energy GmbH","GE 5.3-158","5300 ","",7336019,"49,594734","7,638694","161","158"
"942","","GE Wind Energy GmbH","GE 5.3-158","5300 ","",7336090,"49,592229","7,643662","161","158"
"943","","GE Wind Energy GmbH","GE 5.3-158","5300 ","",7336019,"49,595347","7,647976","161","158"
"944","E3025401WEA0004100045470000016717","Vestas Deutschland GmbH","V126","3450 ","26.02.2020",7336069,"49,644845","7,711739","137","126"
"945","","ENERCON GmbH","E-138 EP 3","3500 ","",7143029,"50,599094","7,756632","160","138.6"
"946","E31238010000000000000007743051643","Vestas Deutschland GmbH","V90","2000 ","19.06.2009",7232061,"49,870928","6,554417","105","90"
"947","E31238010000000000000007743051644","Vestas Deutschland GmbH","V90","2000 ","27.05.2009",7232061,"49,866267","6,551583","105","90"
"948","E31238010000000000000007743051645","Vestas Deutschland GmbH","V90","2000 ","03.06.2009",7232061,"49,877706","6,550489","105","90"
"949","","ENERCON GmbH","E-138 EP3 E 2","4200 ","",7143029,"50,599628","7,773052","160","138.6"
"950","","Vestas Deutschland GmbH","V90","2000 ","24.09.2009",7232061,"49,870139","6,557883","105","90"
"951","E31238010000000000000007278100131","Fuhrländer AG","MD77","1500 ","07.04.2009",7135042,"50,2132","7,1596","111.5","77"
"952","E31238010000000000000007278122515","Fuhrländer AG","MD77","1500 ","14.04.2009",7135042,"50,2134","7,1656","111.5","77"
"953","E31102010000000000002001862100003","Schütz GmbH & Co. KGaA","VT110","3200 ","22.07.2014",7143268,"50,61376","7,74884","143.2","110"
"954","E31102010000000000002002810800001","Schütz GmbH & Co. KGaA","VT110","3200 ","09.02.2015",7143241,"50,61924","7,76666","143.2","110"
"955","E31102010000000000002001763800002","ENERCON GmbH","E 53"," 800","31.01.2012",7143203,"50,527725","7,873258","73.25","53"
"956","E31102010000000000002002810800002","Schütz GmbH & Co. KGaA","VT110","3200 ","09.02.2015",7143241,"50,62186","7,76432","143.2","110"
"957","E31102010000000000002002810800003","Schütz GmbH & Co. KGaA","VT110","3200 ","14.07.2015",7143241,"50,61936","7,75456","143.2","110"
"958","E31102010000000000002002810800004","Schütz GmbH & Co. KGaA","VT110","3200 ","05.08.2015",7143241,"50,62193","7,75805","143.2","110"
"959","E31102010000000000002002810800005","Schütz GmbH & Co. KGaA","VT110","3200 ","25.08.2015",7143268,"50,61653","7,75162","143.2","110"
"960","E31102010000000000002003074700001","ENERCON GmbH","E-92","2350 ","15.12.2015",7143226,"50,519124","7,988923","138","92"
"961","E3123801W000000000003605371189724","GE Wind Energy GmbH","GE-120-2,75/139,00/120,00/2,78MW","2780 ","03.08.2016",7133060,"49,678869","7,595091","139","120"
"962","E31238010000000340000007005572672","Sonkyo Energy","Windspot 3,5 kw","5000 ","18.07.2013",7336050,"","","",""
"963","E31238010000000000000000114699324","ENERCON GmbH","E-101","3050 ","22.08.2014",7134019,"49,706402","7,412187","149","101"
"964","E3123801V000000000000039539289327","ENERCON GmbH","E-92","2350 ","16.12.2014",7143029,"50,607408","7,775155","138","92"
"965","","ENERCON GmbH","E-92","2350 ","23.12.2014",7143029,"50,604111","7,76919","138","92"
"966","E31238010000000000000013032718701","ENERCON GmbH","E-82","2000 ","29.10.2010",7143202,"50,632995","7,852586","107","82"
"967","E31238010000000000000013032718703","ENERCON GmbH","E-82","2000 ","29.10.2010",7143202,"50,635188","7,855206","107","82"
"968","E32954010000000000003613500500005","ENERCON GmbH","E 101 FTQ","3050 ","23.09.2014",7339015,"49,791167","8,312389","135","101"
"969","","Vestas Deutschland GmbH","V44H /600kW"," 600","29.08.1996",7143225,"50,7","7,7167","53","44"
"970","","GE Wind Energy GmbH","GE 2.75-120","2780 ","",7340042,"49,303121","7,583027","139","120"
"971","E31238010000000000000027452419553","ENERCON GmbH","E-82","2300 ","28.12.2012",7232201,"50,115439","6,312377","138","82"
"972","E3025401WEA0004100052350000017452","Vestas Deutschland GmbH","V126","3450 ","14.01.2020",7336087,"49,529003","7,600984","149","126"
"973","E30254010000000000005230822706687","Enron Wind GmbH","E-40/5.40"," 500","04.11.1999",7333008,"49,628729","7,758726","65","40"
"974","E30254010000000000005230822702034","ENERCON GmbH","E-66 /15.66","1500 ","10.04.2000",7333008,"49,628597","7,755712","67","66"
"975","E30254010000000000005230822702035","ENERCON GmbH","E-66/18.70b","1800 ","05.03.2004",7333008,"49,629879","7,755334","98","66"
"976","E30254010000000000005230788306675","Vestas Deutschland GmbH","V80","2000 ","15.01.2002",7340055,"49,319475","7,598403","100","80"
"977","E30254010000000000005230788301708","Vestas Deutschland GmbH","V80","2000 ","27.06.2002",7340055,"49,319708","7,591083","100","80"
"978","E30254010000000000005230788301709","GE Wind Energy GmbH","GE 1,5sl","1500 ","04.06.2002",7340055,"49,322341","7,597756","100","77"
"979","","Vestas Deutschland GmbH","V52"," 850","16.01.2002",7336052,"49,49695","7,345698","74","52"
"980","E3025401WEA0004100036810000014583","Vestas Deutschland GmbH","V126","3450 ","25.07.2017",7333026,"49,614699","8,127741","149","126"
"981","","Vestas Deutschland GmbH","V112","3300 ","26.08.2016",7333026,"49,609684","8,124689","140","112"
"982","E3025401WEA0004100033530000013176","Vestas Deutschland GmbH","V112","3075 ","12.06.2015",7333026,"49,613604","8,122085","","112"
"983","E3025401WEA0004100033530000013177","Vestas Deutschland GmbH","V112","3075 ","18.06.2015",7333026,"49,617282","8,12674","140","112"
