"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"1095",723306232,54597,"Ormont",300,1991-07-11,"11YR00000003039P",10003764,"E31238010000030212000000630310551",45037,7233,"Vulkaneifel",150.123333333333,45,"723306","Geroldstein"
"1096",723306232,54597,"Ormont",300,1991-07-11,"11YR00000003039P",10003764,"E31238010000030212000000630311806",45037,7233,"Vulkaneifel",150.123333333333,45,"723306","Geroldstein"
"1097",723306232,54597,"Ormont",300,1993-02-09,"11YR00000003039P",10003764,"E31238010000030212000000630318067",45037,7233,"Vulkaneifel",150.123333333333,45,"723306","Geroldstein"
"1098",723306232,54597,"Ormont",300,1993-02-09,"11YR00000003039P",10003764,"E31238010000030212000000630318068",45037,7233,"Vulkaneifel",150.123333333333,45,"723306","Geroldstein"
"1099",723306232,54597,"Ormont",300,1993-02-09,"11YR00000003039P",10003764,"E31238010000030212000000630318069",45037,7233,"Vulkaneifel",150.123333333333,45,"723306","Geroldstein"
"1100",723306232,54597,"Ormont",300,1993-02-09,"11YR00000003039P",10003764,"E31238010000030212000000630318070",45037,7233,"Vulkaneifel",150.123333333333,45,"723306","Geroldstein"
"1101",723201293,54597,"Plütscheid",500,1998-12-01,"11YR00000003039P",10003764,"E31238010000030212000000704401224",830063,7232,"Eifelkreis Bitburg-Pr?m",1660.126,830,"723201","Arzfeld"
"1102",723201293,54597,"Plütscheid",500,1998-12-01,"11YR00000003039P",10003764,"E31238010000030212000000704402583",830063,7232,"Eifelkreis Bitburg-Pr?m",1660.126,830,"723201","Arzfeld"
"1103",723201293,54597,"Plütscheid",1500,1998-12-01,"11YR00000003039P",10003764,"E31238010000030212000000704418670",2490186,7232,"Eifelkreis Bitburg-Pr?m",1660.124,2490,"723201","Arzfeld"
"1104",723206307,54597,"Seiwerath",600,1998-11-19,"11YR00000003039P",10003764,"E31238010000030212000000859901229",760278,7232,"Eifelkreis Bitburg-Pr?m",1267.13,760,"723206","Pr?m"
"1105",723206307,54597,"Seiwerath",600,1999-06-10,"11YR00000003039P",10003764,"E31238010000030212000000861201449",863108,7232,"Eifelkreis Bitburg-Pr?m",1438.51333333333,863,"723206","Pr?m"
"1106",723206307,54597,"Seiwerath",600,1999-06-11,"11YR00000003039P",10003764,"E31238010000030212000000861219019",863108,7232,"Eifelkreis Bitburg-Pr?m",1438.51333333333,863,"723206","Pr?m"
"1107",723306214,54611,"Hallschlag",1000,2000-05-12,"11YR00000003039P",10003764,"E31238010000030212000001159009088",1349839,7233,"Vulkaneifel",1349.839,1350,"723306","Geroldstein"
"1111",723306214,54611,"Hallschlag",500,1998-06-22,"11YR00000003039P",10003764,"E31238010000030212000001160302382",682965,7233,"Vulkaneifel",1365.93,683,"723306","Geroldstein"
"1112",723306214,54611,"Hallschlag",1500,2000-10-19,"11YR00000003039P",10003764,"E31238010000030212000001160302383",2048887,7233,"Vulkaneifel",1365.92466666667,2049,"723306","Geroldstein"
