"","Gemeindeschlüssel","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"196",733303012,67308,"Bubenheim",2780,2015-12-22,"E3025401WEA0004100033660000013422",21,0.00755395683453237,0
"197",733304076,67294,"Stetten",3075,2015-11-25,"E3025401WEA0004100033710000013499",811236,263.816585365854,811
"198",733610055,66869,"Kusel",2000,2015-12-25,"E3025401WEA0004100033770000013556",1950,0.975,2
"199",733509019,66879,"Kollweiler",3050,2014-07-24,"E3025401WEA0005000000KOLLWEILER01",5857846,1920.60524590164,5858
"200",733509019,66879,"Kollweiler",3050,2014-07-24,"E3025401WEA0005000000KOLLWEILER02",5857841,1920.60360655738,5858
"201",733608069,67759,"Nußbach",3050,2012-05-15,"E3025401WEA0005000060110000004636",6421229,2105.32098360656,6421
"202",733608069,67759,"Nußbach",3050,2012-04-24,"E3025401WEA0005000060110000004637",6421229,2105.32098360656,6421
"203",733307079,67822,"Waldgrehweiler",3400,2012-03-22,"E3025401WEA0005000060630000004685",7383435,2171.59852941176,7383
"204",733307079,67822,"Waldgrehweiler",3400,2012-03-22,"E3025401WEA0005000060630000004686",7383435,2171.59852941176,7383
"205",713301045,55585,"Hochstätten",2000,2012-01-12,"E3025401WEA0005000068450000005343",3345477,1672.7385,3345
"206",713301045,55585,"Hochstätten",2000,2011-12-29,"E3025401WEA0005000068450000005344",3345477,1672.7385,3345
"207",713301045,55585,"Hochstätten",2000,2012-01-18,"E3025401WEA0005000068450000005345",3345479,1672.7395,3345
"208",733304076,67294,"Stetten",3170,2013-02-14,"E3025401WEA0005000077080000006148",7765587,2449.7119873817,7766
"209",733304076,67294,"Stetten",3170,2013-02-07,"E3025401WEA0005000077080000006149",7765580,2449.70977917981,7766
"210",733304076,67294,"Stetten",3170,2012-12-29,"E3025401WEA0005000077080000006150",7765580,2449.70977917981,7766
"211",733101024,55234,"Flomborn",3075,2012-12-21,"E3025401WEA0005000085560000006845",6733791,2189.85073170732,6734
"212",733101024,55234,"Flomborn",3075,2012-12-28,"E3025401WEA0005000085570000006846",6733791,2189.85073170732,6734
"213",733101024,55234,"Flomborn",3075,2013-01-25,"E3025401WEA0005000085580000006847",6733791,2189.85073170732,6734
"214",733101024,55234,"Flomborn",3075,2013-02-07,"E3025401WEA0005000085590000006848",6733791,2189.85073170732,6734
"215",733101024,55234,"Flomborn",3075,2013-02-21,"E3025401WEA0005000087220000006951",6733791,2189.85073170732,6734
"216",734008221,66484,"Riedelberg",2300,2013-07-19,"E3025401WEA0005000093180000007504",4180275,1817.51086956522,4180
"217",734008221,66484,"Riedelberg",2300,2013-07-29,"E3025401WEA0005000093220000007507",4180275,1817.51086956522,4180
"218",734008221,66484,"Riedelberg",2300,2013-08-02,"E3025401WEA0005000093240000007509",4180275,1817.51086956522,4180
"219",734008221,66484,"Riedelberg",2300,2013-08-16,"E3025401WEA0005000093260000007510",4180270,1817.50869565217,4180
"220",733608019,67753,"Einöllen",6,2014-01-16,"E3025401WEA0005000101100000012086",2794,465.666666666667,3
"221",713301032,55546,"Fürfeld",2300,2013-12-27,"E3025401WEA0005000102220000011949",4202335,1827.10217391304,4202
"222",713301032,55546,"Fürfeld",3050,2013-12-23,"E3025401WEA0005000102220000011950",6052789,1984.52098360656,6053
"223",713301032,55546,"Fürfeld",3050,2013-12-18,"E3025401WEA0005000102220000011951",5880097,1927.9006557377,5880
"224",713301032,55546,"Fürfeld",3050,2014-07-14,"E3025401WEA000500010222FUERFELD04",5880097,1927.9006557377,5880
"225",733307003,67821,"Alsenz",3075,2014-08-01,"E3025401WEA00UWALSENZ370000000001",6900975,2244.21951219512,6901
"226",733307003,67821,"Alsenz",3075,2014-07-28,"E3025401WEA00UWALSENZ370000000002",6900975,2244.21951219512,6901
"227",733307003,67821,"Alsenz",3075,2014-08-12,"E3025401WEA00UWALSENZ370000000003",6900975,2244.21951219512,6901
"228",733307003,67821,"Alsenz",3075,2014-08-19,"E3025401WEA00UWALSENZ370000000004",6900975,2244.21951219512,6901
