"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh"
"233",731200000,67657,"Kaiserslautern",3075,2014-11-05,"E30613019020000000000000589300002",6659280
"234",731200000,67657,"Kaiserslautern",3075,2014-11-10,"E30613019020000000000000589300003",6659280
"235",733307025,67813,"Gerbach",2000,2003-07-23,"E30773010000000000000000200100013",4049567.28
"236",733307025,67813,"Gerbach",1800,2003-09-30,"E30773010000000000000000200100014",3644610.56
"237",733307025,67813,"Gerbach",1800,2003-09-30,"E30773010000000000000000200100015",3644610.56
"238",733806016,67245,"Lambsheim",2000,2011-03-31,"E30856010000000000000000000100064",2804289
"239",733806016,67245,"Lambsheim",2000,2011-03-31,"E30856010000000000000000000100070",2804289
"240",733806013,67259,"Heuchelheim",2012,2002-12-27,"E30873010003403410000000S00100002",2562760.88
"241",731500000,55129,"Mainz",600,2000-03-03,"E31060010000000072131001000100095",694049.62
"242",731500000,55129,"Mainz",800,2007-07-23,"E31060010000000072260994100100283",1265864.2
"243",731500000,55129,"Mainz",600,2000-07-11,"E31060010000000072280991000100070",949398.16
"244",731500000,55129,"Mainz",600,2000-07-11,"E31060010000000072280991000100384",949398.16
"245",731500000,55129,"Mainz",600,2001-03-22,"E31060010000000072280991000100385",949398.16
"246",731500000,55129,"Mainz",2000,2006-10-18,"E31060010000000094100991100100155",3540079.1
"247",731500000,55129,"Mainz",2000,2006-11-08,"E31060010000000094100992100100378",3385693.6
"248",731500000,55129,"Mainz",2000,2010-01-22,"E31060010000000094100993300100653",3721000.5
"249",714302202,57642,"Alpenrod",500,1998-08-07,"E31102010000000000001008269700001",527752.39
"250",714302202,57642,"Alpenrod",500,1998-08-13,"E31102010000000000001008269700002",527752.39
"251",714302202,57642,"Alpenrod",600,2000-09-22,"E31102010000000000001008269700003",621348.19
"252",714310060,56244,"Sainerholz",250,1996-08-02,"E31102010000000000001273647300001",182949
"253",714308220,56244,"Ettinghausen",250,1995-01-16,"E31102010000000000001273901400001",197457
"254",714306295,56479,"Stein-Neukirch",200,1993-11-12,"E31102010000000000001273977400001",178050.2
"255",714308232,56244,"Hahn am See",1000,2001-12-04,"E31102010000000000001274022500001",992708
"256",714302250,57612,"Kroppach",250,1994-11-29,"E31102010000000000001274253800001",209872
"257",714302225,57612,"Giesenhausen",600,1996-08-27,"E31102010000000000001274255400001",559120
"258",714301222,56472,"Fehl-Ritzhausen",600,1996-05-13,"E31102010000000000001274308900001",131612.18
"259",714301222,56472,"Fehl-Ritzhausen",500,1996-05-13,"E31102010000000000001274308900002",109676.82
"260",714301248,57629,"Kirburg",800,1998-07-09,"E31102010000000000001274362300001",882700
"261",714301253,57520,"Langenbach bei Kirburg",150,1991-04-26,"E31102010000000000001274402600001",148748.92
"262",714301253,57520,"Langenbach bei Kirburg",500,1997-09-24,"E31102010000000000001274404200001",721571.5
"263",714301253,57520,"Langenbach bei Kirburg",600,1995-04-06,"E31102010000000000001274406900001",391772.69
"264",714301253,57520,"Langenbach bei Kirburg",500,1997-02-25,"E31102010000000000001274407700001",693400.5
"265",714301253,57520,"Langenbach bei Kirburg",250,1998-10-26,"E31102010000000000001274409300001",228888
"266",714301243,56472,"Hof",950,2003-11-24,"E31102010000000000001274439500001",2220220
"267",714306291,56479,"Salzburg",250,1996-05-29,"E31102010000000000001274440900001",277850
"268",714301243,56472,"Hof",500,1994-12-12,"E31102010000000000001274441700001",612402.6
"269",714301243,56472,"Hof",500,1997-09-19,"E31102010000000000001274442500001",190801.5
"270",714306291,56479,"Salzburg",500,1996-03-06,"E31102010000000000001274443300001",774095.75
"271",714306291,56479,"Salzburg",250,1995-09-28,"E31102010000000000001274444100001",289423.73
"272",714306291,56479,"Salzburg",500,1996-03-11,"E31102010000000000001274446800001",750000
"273",714301243,56472,"Hof",500,1997-09-18,"E31102010000000000001274449200001",726100
