"","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh"
"158","E3025401WEA000000GALGENBERT010001","3050","15.12.2014",7336087,"49,532692","7,59481",149,101,733608087,67753,"Rothselberg",3050,"2014-12-15",7493167
"159","E3025401WEA000000GALGENBERT010002","3050","23.12.2014",7336087,"49,532144","7,60005",149,101,733608087,67753,"Rothselberg",3050,"2014-12-23",7493167
"160","E3025401WEA000000GALGENBERT010003","3050","30.12.2014",7336087,"49,525607","7,601038",149,101,733608087,67753,"Rothselberg",3050,"2014-12-30",7493167
"161","E3025401WEA000000GALGENBERT010005","3050","25.6.2015",7336053,"49,535218","7,608822",149,101,733608105,67752,"Wolfstein",3050,"2015-06-25",7493167
"162","E3025401WEA000000GALGENBERT010006","3050","21.5.2015",7336087,"49,530465","7,610062",149,101,733608105,67752,"Wolfstein",3050,"2015-05-21",7493167
"163","E3025401WEA000000GALGENBERT010007","3050","28.7.2015",7336053,"49,538499","7,608618",149,101,733608105,67752,"Wolfstein",3050,"2015-07-28",7493167
"164","E3025401WEA000000GALGENBERT010008","3050","4.8.2015",7336087,"49,541501","7,607648",149,101,733608105,67752,"Wolfstein",3050,"2015-08-04",7493168
"165","E3025401WEA000000UWOFFENBACH37501","2530","3.9.2014",7337061,"49,175251","8,198576",139,120,733707061,76877,"Offenbach",2530,"2014-09-03",6057058
"166","E3025401WEA000000UWOFFENBACH37502","2530","19.8.2014",7337061,"49,175055","8,192418",139,120,733707061,76877,"Offenbach",2530,"2014-08-19",6057058
"167","E3025401WEA000000UWOFFENBACH37503","2530","3.9.2014",7337061,"49,17074","8,19419",139,120,733707061,76877,"Offenbach",2530,"2014-09-03",6057058
"168","E3025401WEA000000UWOFFENBACH37504","2530","3.9.2014",7337061,"49,17717","8,206942",139,120,733707061,76877,"Offenbach",2530,"2014-09-02",6057058
"169","E3025401WEA000000UWOFFENBACH37505","2530","14.8.2014",7337061,"49,174152","8,210159",139,120,733707061,76877,"Offenbach",2530,"2014-08-14",6057058
