"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2"
"71",71,"E30254010000000000005230822707035","500","4.11.1999",7333008,49.628729,7.758726,65,40,733307008,67806,"Bisterschied",500,"1999-11-04",742214,285,742,81225,0.081225,9.13775315481687
"73",73,"E30254010000000000005230823402040","600","28.12.2004",7336074,49.686775,7.666451,78,44,733608074,67748,"Odenbach",600,"2004-12-28",716942,250,717,62500,0.0625,11.471072
"74",74,"E30254010000000000005230823407054","600","28.12.2004",7336074,49.685214,7.665335,78,44,733608074,67748,"Odenbach",600,"2004-12-28",716934,250,717,62500,0.0625,11.470944
"75",75,"E30254010000000000005230826706683","1750","22.12.2003",7336021,49.572734,7.492273,67,66,733610103,66887,"Welchweiler",1750,"2003-12-22",1186884,275,1187,75625,0.075625,15.6943338842975
"76",76,"E30254010000000000005230827307061","1800","27.2.2004",7333008,49.629864,7.753883,98,66,733307008,67806,"Bisterschied",1800,"2004-02-27",2707546,253,2708,64009,0.064009,42.2994578887344
"78",78,"E30254010000000000005230876501820","600","7.5.2002",7336069,49.6504,7.6976,65,44,733608069,67759,"Nußbach",600,"2002-05-07",1022546,647,1023,418609,0.418609,2.44272340059578
"79",79,"E30254010000000000005230888706707","1600","12.12.2003",7336069,49.6523,7.7038,98,70,733608069,67759,"Nußbach",1600,"2003-12-12",3219360,420,3219,176400,0.1764,18.2503401360544
"80",80,"E30254010000000000005230940402446","2000","13.4.2006",7338023,49.293704,8.379747,105,90,733807023,67354,"Römerberg",2000,"2006-04-13",3159743,558,3160,311364,0.311364,10.1480678562711
"81",81,"E30254010000000000005230940406757","2000","1.10.2008",7338023,49.296821,8.383127,105,90,733807023,67354,"Römerberg",2000,"2008-10-01",3052733,558,3053,311364,0.311364,9.80438650582598
"82",82,"E30254010000000000005231606303528","2000","14.2.2003",7335501,49.520949,7.530289,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-02-14",2885151,333,2885,110889,0.110889,26.0183697210724
"83",83,"E30254010000000000005231606303529","2000","19.1.2003",7335501,49.519808,7.533332,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-01-19",2885151,298,2885,88804,0.088804,32.4889757218143
"84",84,"E30254010000000000005231606303530","2000","16.1.2003",7335501,49.518207,7.53529,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2003-01-16",2885151,298,2885,88804,0.088804,32.4889757218143
"85",85,"E30254010000000000005231606303531","2000","28.12.2002",7335501,49.518739,7.539336,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2002-12-28",2885151,365,2885,133225,0.133225,21.6562281854006
"86",86,"E30254010000000000005231606303532","2000","29.12.2002",7335501,49.519194,7.543122,100,80,733509501,66879,"Reichenbach-Steegen",2000,"2002-12-29",2885151,365,2885,133225,0.133225,21.6562281854006
"87",87,"E30254010000000000005231606303533","2000","8.12.2004",7336087,49.530546,7.589261,98,704,733608087,67753,"Rothselberg",2000,"2004-12-08",2411487,612,2411,374544,0.374544,6.43846116878124
"88",88,"E30254010000000000005231606303534","2000","2.12.2004",7336087,49.521912,7.607461,98,704,733608087,67753,"Rothselberg",2000,"2004-12-02",2411484,813,2411,660969,0.660969,3.64840711137739
"89",89,"E30254010000000000005231607403543","1650","19.10.2000",7333038,49.58767,8.079197,67,66,733302038,67304,"Kerzenheim",1650,"2000-10-19",1396482,382,1396,145924,0.145924,9.5699268112168
"90",90,"E30254010000000000005231615906699","1500","20.8.2003",7333038,49.586088,8.068118,647,705,733302038,67304,"Kerzenheim",1500,"2003-08-20",1842254,798,1842,636804,0.636804,2.89296863713168
"91",91,"E30254010000000000005231640303562","2000","28.2.2007",7336047,49.499972,7.404166,105,90,733609047,66909,"Hüffler",2000,"2007-02-28",3818634,364,3819,132496,0.132496,28.8207493056394
"92",92,"E30254010000000000005231640307069","2000","21.2.2007",7336047,49.502427,7.404858,105,90,733609047,66909,"Hüffler",2000,"2007-02-21",3818627,364,3819,132496,0.132496,28.8206964738558
"93",93,"E30254010000000000005231819004016","800","9.8.2007",7340016,49.324,7.61322,758,48,734006016,66919,"Hermersberg",800,"2007-08-09",1174216,235,1174,55225,0.055225,21.2623992756904
"94",94,"E30254010000000000005231819006705","800","7.8.2007",7340016,49.324202,7.610776,758,48,734006016,66919,"Hermersberg",800,"2007-08-07",1174216,235,1174,55225,0.055225,21.2623992756904
"95",95,"E30254010000000000005231819007703","2000","8.7.2008",7340055,49.323744,7.594404,138,82,734006016,66919,"Hermersberg",2000,"2008-07-10",4024250,380,4024,144400,0.1444,27.8687673130194
"96",96,"E30254010000000000005231819007704","2000","16.7.2008",7340055,49.31567,7.593234,138,82,734006016,66919,"Hermersberg",2000,"2008-07-29",4024251,625,4024,390625,0.390625,10.30208256
"97",97,"E30254010000000000005231821504019","2000","3.8.2007",7336021,49.575628,7.492944,65,70,733610103,66887,"Welchweiler",2000,"2007-08-03",1700281,426,1700,181476,0.181476,9.36917829354846
"98",98,"E30254010000000000005232123306711","2000","28.12.2007",7340015,49.294891,7.624759,108,82,734006054,67714,"Waldfischbach-Burgalben",2000,"2007-12-28",3092015,475,3092,225625,0.225625,13.7042216066482
"99",99,"E30254010000000000005232123306712","2000","27.12.2007",7340015,49.296296,7.631006,108,82,734006022,66989,"Höheinöd",2000,"2007-12-27",3092015,631,3092,398161,0.398161,7.76574049191156
"100",100,"E30254010000000000005232123306713","2000","30.1.2008",7340015,49.291881,7.626631,108,82,734006054,67714,"Waldfischbach-Burgalben",2000,"2008-01-30",3092016,475,3092,225625,0.225625,13.7042260387812
"101",101,"E30254010000000000005232263805059","2000","4.3.2008",7337061,49.170983,8.20202,105,90,733707061,76877,"Offenbach",2000,"2008-03-04",3564919,368,3565,135424,0.135424,26.324130139414
"102",102,"E30254010000000000005232263805060","2000","17.3.2008",7337061,49.167192,8.2064,105,90,733707061,76877,"Offenbach",2000,"2008-03-17",3564919,360,3565,129600,0.1296,27.5070910493827
"103",103,"E30254010000000000005232263805061","2000","8.3.2008",7337061,49.169503,8.205116,105,90,733707061,76877,"Offenbach",2000,"2008-03-08",3564912,360,3565,129600,0.1296,27.507037037037
"104",104,"E30254010000000000005232790909814","2000","7.10.2008",7338023,49.297747,8.377295,105,90,733807023,67354,"Römerberg",2000,"2008-10-07",3052724,573,3053,328329,0.328329,9.29775925976688
"105",105,"E30254010000000000005232855709017","2300","27.2.2009",7340221,49.172108,7.466173,98,71,734008221,66484,"Riedelberg",2300,"2009-02-27",3114291,384,3114,147456,0.147456,21.1201375325521
"106",106,"E30254010000000000005232855709018","2300","4.3.2009",7340221,49.170805,7.469643,98,71,734008221,66484,"Riedelberg",2300,"2009-03-04",3114293,384,3114,147456,0.147456,21.1201510959201
"107",107,"E30254010000000000005232855709019","2000","3.3.2009",7340221,49.170418,7.473716,98,82,734008221,66484,"Riedelberg",2000,"2009-03-03",3705969,390,3706,152100,0.1521,24.3653451676529
"108",108,"E30254010000000000005232855709020","2000","27.2.2009",7340221,49.169497,7.477531,98,82,734008221,66484,"Riedelberg",2000,"2009-02-27",3705969,390,3706,152100,0.1521,24.3653451676529
"109",109,"E30254010000000000005233312514223","2000","26.10.2009",7336003,49.560905,7.427893,108,82,733610003,66885,"Erdesbach-Patersbach",2000,"2009-10-26",2812792,504,2813,254016,0.254016,11.0732867220962
"110",110,"E30254010000000000005233312514224","2000","3.11.2009",7336003,49.563606,7.422525,108,82,733610022,66887,"Erdesbach-Patersbach",2000,"2009-11-03",2812792,507,2813,257049,0.257049,10.9426296153652
"111",111,"E30254010000000000005233312514225","2000","3.11.2009",7336003,49.560124,7.422714,108,82,733610022,66887,"Erdesbach-Patersbach",2000,"2009-11-03",2812791,406,2813,164836,0.164836,17.0641789414934
"112",112,"E30254010000000000005233312514226","2000","12.10.2009",7336003,49.557391,7.421888,108,82,733610003,66885,"Erdesbach-Patersbach",2000,"2009-10-12",2812792,406,2813,164836,0.164836,17.0641850081293
"113",113,"E30254010000000000005233432816109","2000","28.11.2009",7340226,49.21603,7.49013,105,90,734008226,66484,"Walshausen",2000,"2009-11-28",3690572,355,3691,126025,0.126025,29.2844435627852
"114",114,"E30254010000000000005233432816110","2000","1.12.2009",7340226,49.21436,7.49281,105,90,734008226,66484,"Walshausen",2000,"2009-12-01",3690567,355,3691,126025,0.126025,29.2844038881174
"116",116,"E30254010000000000005234010639491","3050","28.10.2011",7333025,49.67732,7.90634,135,101,733307025,67813,"Gerbach",3050,"2011-10-28",8012878,515,8013,265225,0.265225,30.2116240927514
"117",117,"E30254010000000000005234201028183","2500","4.2.2011",7338006,49.400356,8.324114,135,100,733801006,67125,"Dannstadt-Schauernheim",2500,"2011-02-04",3663506,560,3664,313600,0.3136,11.6820982142857
"118",118,"E30254010000000000005234201028184","2500","2.2.2011",7338005,49.399298,8.318452,135,100,733800005,67459,"Böhl-Iggelheim",2500,"2011-02-02",3663507,560,3664,313600,0.3136,11.6821014030612
"119",119,"E30254010000000000005234239828155","2000","30.12.2010",7332010,49.586289,8.272211,108,82,733207010,67246,"Dirmstein",2000,"2010-12-30",3285475,305,3285,93025,0.093025,35.3181940338619
"120",120,"E30254010000000000005234239828156","2000","29.12.2010",7332010,49.586054,8.278192,108,82,733207010,67246,"Dirmstein",2000,"2010-12-30",3284043,318,3284,101124,0.101124,32.4754064317076
